Series Name,Series Code,Country Name,Country Code,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bank cost to income ratio (%),GFDD.EI.07,Brazil,BRA,..,74.01274,58.15495,62.64394,63.8774,68.557,62.87375,64.98171,65.04424,68.04405,61.43049,55.8288
Bank cost to income ratio (%),GFDD.EI.07,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Bulgaria,BGR,..,61.50442,53.25479,54.78288,48.04313,49.96555,49.00342,50.11793,48.98655,50.03709,56.40888,49.37222
Bank cost to income ratio (%),GFDD.EI.07,Burkina Faso,BFA,..,65.81314,56.92175,57.92487,52.28925,52.90938,56.07615,53.96365,56.79625,53.89084,43.24403,..
Bank cost to income ratio (%),GFDD.EI.07,Burundi,BDI,..,..,69.76116,64.06454,..,58.47295,54.03918,46.15714,44.79435,43.21344,45.5628,49.18098
Bank cost to income ratio (%),GFDD.EI.07,Cabo Verde,CPV,..,..,72.35967,75.26077,78.24339,73.64754,75.99999,67.50639,75.54284,58.78465,53.7564,51.66662
Bank cost to income ratio (%),GFDD.EI.07,Cambodia,KHM,..,..,47.9206,47.28611,46.96332,44.496,45.09488,44.26262,43.70399,43.01467,43.83192,41.96586
Bank cost to income ratio (%),GFDD.EI.07,Cameroon,CMR,..,38.23786,67.6208,68.94845,68.80143,63.41438,58.97689,55.6706,56.26796,55.55466,49.67011,..
Bank cost to income ratio (%),GFDD.EI.07,Canada,CAN,..,64.45959,59.34498,60.40701,60.63363,60.52641,59.87611,58.30355,56.8242,57.91645,56.63177,57.34952
Bank cost to income ratio (%),GFDD.EI.07,Cayman Islands,CYM,..,59.1512,75.01127,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Chad,TCD,..,..,54.50276,52.03517,..,..,65.94747,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Chile,CHL,..,57.97764,47.55072,44.67655,44.42387,50.48412,52.9543,51.86062,50.15273,48.06841,56.34565,45.20817
Bank cost to income ratio (%),GFDD.EI.07,China,CHN,..,67.90409,33.69381,33.52495,31.11538,36.86427,33.43143,32.12704,31.53452,30.79621,30.31818,31.75122
Bank cost to income ratio (%),GFDD.EI.07,Colombia,COL,..,95.39877,57.35996,..,..,53.19797,49.028,48.01622,48.93195,48.61404,52.44291,67.84281
Bank cost to income ratio (%),GFDD.EI.07,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,"Congo, Dem. Rep.",COD,..,78.1841,80.90523,78.29861,74.45518,81.09003,86.66558,91.17693,81.22704,80.66982,81.89899,..
Bank cost to income ratio (%),GFDD.EI.07,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Costa Rica,CRI,..,75.41113,64.28734,69.50819,64.02665,68.26223,66.4386,66.89681,64.35081,67.37704,66.66335,62.41118
Bank cost to income ratio (%),GFDD.EI.07,Cote d'Ivoire,CIV,..,63.16969,70.71442,77.67651,66.59901,63.79219,61.15087,60.22924,59.23001,58.09843,53.81778,52.86265
Bank cost to income ratio (%),GFDD.EI.07,Croatia,HRV,..,54.79261,53.42706,56.18494,54.89266,76.54671,48.6657,53.53416,51.13399,54.59014,58.01945,51.7748
Bank cost to income ratio (%),GFDD.EI.07,Cuba,CUB,..,41.50666,..,..,..,12.26956,12.17757,11.5185,10.09603,10.92682,26.01783,..
Bank cost to income ratio (%),GFDD.EI.07,Curaçao,CUW,..,..,61.81911,63.20444,59.53566,67.12167,68.23532,75.73763,72.37333,69.45855,68.63071,74.74618
Bank cost to income ratio (%),GFDD.EI.07,Cyprus,CYP,..,63.31602,48.72837,47.64324,56.88449,61.11262,62.86539,70.45883,78.26926,83.87483,84.15097,89.21792
Bank cost to income ratio (%),GFDD.EI.07,Czech Republic,CZE,..,76.37223,42.91319,43.31784,44.14501,44.91226,43.74257,44.66142,44.36821,44.48566,49.80188,50.49136
Bank cost to income ratio (%),GFDD.EI.07,Denmark,DNK,..,67.37174,60.78229,58.85997,67.74596,59.10827,48.97215,49.21574,59.34507,65.19219,67.27003,60.17405
Bank cost to income ratio (%),GFDD.EI.07,Djibouti,DJI,..,..,51.68225,55.93551,51.10577,63.14895,..,58.68632,60.01155,64.17349,..,..
Bank cost to income ratio (%),GFDD.EI.07,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Dominican Republic,DOM,..,66.16207,72.05141,70.6978,72.10669,69.11626,68.05859,70.23981,69.779,71.18035,66.77017,63.39925
Bank cost to income ratio (%),GFDD.EI.07,Ecuador,ECU,..,94.2085,63.66158,69.07895,68.44122,66.89787,71.05756,66.17368,62.72274,64.08066,67.58019,67.87329
Bank cost to income ratio (%),GFDD.EI.07,"Egypt, Arab Rep.",EGY,..,49.5899,44.23502,42.83494,38.54313,35.14433,28.69428,30.02051,33.60358,35.46595,35.95836,35.34328
Bank cost to income ratio (%),GFDD.EI.07,El Salvador,SLV,..,65.46391,49.82036,49.39454,51.60805,61.42844,62.37298,62.89841,62.2619,61.41706,63.37476,64.20195
Bank cost to income ratio (%),GFDD.EI.07,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Estonia,EST,..,67.80801,44.78432,35.80997,38.56614,25.93774,47.96105,48.79417,53.85104,62.90237,62.90349,60.97049
Bank cost to income ratio (%),GFDD.EI.07,Eswatini,SWZ,..,79.64625,57.29461,59.27763,56.31021,55.50345,57.85231,62.60168,59.75098,57.61742,..,..
Bank cost to income ratio (%),GFDD.EI.07,Ethiopia,ETH,..,51.37852,36.39233,29.67524,35.17469,34.77215,38.34343,45.37183,51.93616,47.38838,58.31348,55.42247
Bank cost to income ratio (%),GFDD.EI.07,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Fiji,FJI,..,..,..,..,..,52.54016,52.6761,54.53153,52.73127,48.46125,52.14519,58.30348
Bank cost to income ratio (%),GFDD.EI.07,Finland,FIN,..,50,46.95803,53.96587,52.39955,47.14441,50.82773,50.90673,47.94516,70.0713,56.92961,52.24579
Bank cost to income ratio (%),GFDD.EI.07,France,FRA,..,70.88277,65.27306,67.54424,78.01998,67.90576,61.95033,69.26206,73.81634,64.18906,77.05408,68.89777
Bank cost to income ratio (%),GFDD.EI.07,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Gabon,GAB,..,..,57.64051,49.6902,60.57178,63.61677,56.90005,61.55569,56.91817,57.55751,..,..
Bank cost to income ratio (%),GFDD.EI.07,"Gambia, The",GMB,..,..,..,..,..,..,..,65.36457,69.54699,66.07244,64.45018,..
Bank cost to income ratio (%),GFDD.EI.07,Georgia,GEO,..,56.61017,62.13424,54.07561,50.6037,43.84441,45.20891,43.68233,40.8003,42.49666,43.28255,38.32879
Bank cost to income ratio (%),GFDD.EI.07,Germany,DEU,..,76.80985,73.10672,79.74393,79.56317,83.81364,84.02227,88.62919,91.6739,97.17094,87.47895,88.62192
